ticker,sector,industry
GSDDE,ULAŞTIRMA VE DEPOLAMA,ULAŞTIRMA VE DEPOLAMA
GSDHO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
GSRAY,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ
GUBRF,İMALAT,İMALAT
GUNDG,İMALAT,İMALAT
GWIND,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
GZNMI,İDARİ VE DESTEK HİZMET FAALİYETLERİ,İDARİ VE DESTEK HİZMET FAALİYETLERİ
HALKB,MALİ KURULUŞLAR,MALİ KURULUŞLAR
HATEK,İMALAT,İMALAT
HATSN,İMALAT,İMALAT
HDFGS,MALİ KURULUŞLAR,MALİ KURULUŞLAR
HEDEF,MALİ KURULUŞLAR,MALİ KURULUŞLAR
HEKTS,İMALAT,İMALAT
HKTM,İMALAT,İMALAT
HLGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
HOROZ,ULAŞTIRMA VE DEPOLAMA,ULAŞTIRMA VE DEPOLAMA
HRKET,ULAŞTIRMA VE DEPOLAMA,ULAŞTIRMA VE DEPOLAMA
HTTBT,TEKNOLOJİ,TEKNOLOJİ
HUBVC,MALİ KURULUŞLAR,MALİ KURULUŞLAR
HUNER,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
HURGZ,BİLGİ VE İLETİŞİM,BİLGİ VE İLETİŞİM
ICBCT,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ICUGS,MALİ KURULUŞLAR,MALİ KURULUŞLAR
IDGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
IEYHO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
IHAAS,BİLGİ VE İLETİŞİM,BİLGİ VE İLETİŞİM
IHEVA,İMALAT,İMALAT
IHGZT,BİLGİ VE İLETİŞİM,BİLGİ VE İLETİŞİM
IHLAS,MALİ KURULUŞLAR,MALİ KURULUŞLAR
IHLGM,GAYRİMENKUL FAALİYETLERİ,GAYRİMENKUL FAALİYETLERİ
IHYAY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
IMASM,İMALAT,İMALAT
INDES,TEKNOLOJİ,TEKNOLOJİ
INFO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
INGRM,TEKNOLOJİ,TEKNOLOJİ
INTEK,TEKNOLOJİ,TEKNOLOJİ
INTEM,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
INVEO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
INVES,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ISATR,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ISBIR,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ISBTR,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ISCTR,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ISDMR,İMALAT,İMALAT
ISFIN,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ISGSY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ISGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ISKPL,İMALAT,İMALAT
ISKUR,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ISMEN,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ISSEN,İMALAT,İMALAT
ISYAT,MALİ KURULUŞLAR,MALİ KURULUŞLAR
IZENR,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
IZFAS,İMALAT,İMALAT
IZINV,"TARIM, ORMANCILIK VE BALIKÇILIK","TARIM, ORMANCILIK VE BALIKÇILIK"
IZMDC,İMALAT,İMALAT
JANTS,İMALAT,İMALAT
KAPLM,İMALAT,İMALAT
KAREL,TEKNOLOJİ,TEKNOLOJİ
KARSN,İMALAT,İMALAT
KARTN,İMALAT,İMALAT
KATMR,İMALAT,İMALAT
KAYSE,İMALAT,İMALAT
KBORU,İMALAT,İMALAT
KCAER,İMALAT,İMALAT
KCHOL,MALİ KURULUŞLAR,MALİ KURULUŞLAR
KENT,İMALAT,İMALAT
KERVN,MALİ KURULUŞLAR,MALİ KURULUŞLAR
KFEIN,TEKNOLOJİ,TEKNOLOJİ
KGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
KIMMR,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
KLGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
KLKIM,İMALAT,İMALAT
KLMSN,İMALAT,İMALAT
KLNMA,MALİ KURULUŞLAR,MALİ KURULUŞLAR
KLRHO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
KLSER,İMALAT,İMALAT
KLSYN,İMALAT,İMALAT
KLYPV,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
KMPUR,İMALAT,İMALAT
KNFRT,"TARIM, ORMANCILIK VE BALIKÇILIK","TARIM, ORMANCILIK VE BALIKÇILIK"
KOCMT,İMALAT,İMALAT
KONKA,İMALAT,İMALAT
KONTR,"MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER","MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER"
KONYA,İMALAT,İMALAT
KOPOL,İMALAT,İMALAT
KORDS,İMALAT,İMALAT
KOTON,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
KRDMA,İMALAT,İMALAT
KRDMB,İMALAT,İMALAT
KRDMD,İMALAT,İMALAT
KRGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
KRONT,TEKNOLOJİ,TEKNOLOJİ
KRPLS,İMALAT,İMALAT
KRSTL,İMALAT,İMALAT
KRTEK,İMALAT,İMALAT
KRVGD,İMALAT,İMALAT
KSTUR,OTELLER VE LOKANTALAR,OTELLER VE LOKANTALAR
KTLEV,MALİ KURULUŞLAR,MALİ KURULUŞLAR
KTSKR,İMALAT,İMALAT
KUTPO,İMALAT,İMALAT
KUVVA,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
KUYAS,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
KZBGY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
KZGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
LIDER,İDARİ VE DESTEK HİZMET FAALİYETLERİ,İDARİ VE DESTEK HİZMET FAALİYETLERİ
LIDFA,MALİ KURULUŞLAR,MALİ KURULUŞLAR
LILAK,İMALAT,İMALAT
LINK,TEKNOLOJİ,TEKNOLOJİ
LKMNH,,
LMKDC,,
LOGO,TEKNOLOJİ,TEKNOLOJİ
LRSHO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
LUKSK,İMALAT,İMALAT
LYDHO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
LYDYE,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
MAALT,OTELLER VE LOKANTALAR,OTELLER VE LOKANTALAR
MACKO,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ
MAGEN,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
MAKIM,İMALAT,İMALAT
MAKTK,İMALAT,İMALAT
MANAS,TEKNOLOJİ,TEKNOLOJİ
MARBL,İMALAT,İMALAT
MARKA,MALİ KURULUŞLAR,MALİ KURULUŞLAR
MARMR,İMALAT,İMALAT
MARTI,OTELLER VE LOKANTALAR,OTELLER VE LOKANTALAR
MAVI,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
MEDTR,İMALAT,İMALAT
MEGAP,İMALAT,İMALAT
MEGMT,İMALAT,İMALAT
MEKAG,,
MEPET,,
MERCN,İMALAT,İMALAT
