Date,XAU_USD,USD_TRY,XAU_TRY
2020-06-03 00:00:00,1697.800048828125,6.696300029754639,11368.9785174852
2020-06-04 00:00:00,1718.9000244140625,6.724100112915039,11558.05584825226
2020-06-05 00:00:00,1676.199951171875,6.748899936676025,11312.505744320224
2020-06-08 00:00:00,1698.300048828125,6.76140022277832,11482.886328490917
2020-06-09 00:00:00,1714.699951171875,6.775400161743164,11617.778326510916
2020-06-10 00:00:00,1713.300048828125,6.787499904632568,11629.023918027871
2020-06-11 00:00:00,1732.0,6.769899845123291,11725.46653175354
2020-06-12 00:00:00,1729.300048828125,6.835100173950195,11819.939064557198
2020-06-15 00:00:00,1720.300048828125,6.813399791717529,11721.091994377202
2020-06-16 00:00:00,1729.5999755859375,6.822169780731201,11799.624686195806
2020-06-17 00:00:00,1729.199951171875,6.830959796905518,11812.095347266062
2020-06-18 00:00:00,1724.800048828125,6.831799983978272,11783.488945949706
2020-06-19 00:00:00,1745.9000244140625,6.853109836578369,11964.844630994428
2020-06-22 00:00:00,1756.699951171875,6.84689998626709,12027.948871554108
2020-06-23 00:00:00,1772.0999755859375,6.842299938201904,12125.239553439256
2020-06-24 00:00:00,1765.800048828125,6.844600200653076,12086.195368522196
2020-06-25 00:00:00,1762.0999755859375,6.850480079650879,12071.230781104765
2020-06-26 00:00:00,1772.5,6.852739810943604,12146.481314897535
2020-06-29 00:00:00,1774.800048828125,6.8505401611328125,12158.339012477549
2020-06-30 00:00:00,1793.0,6.849500179290772,12281.153821468351
2020-07-01 00:00:00,1773.199951171875,6.847300052642822,12141.63211900543
2020-07-02 00:00:00,1784.0,6.845600128173828,12212.55062866211
2020-07-06 00:00:00,1788.5,6.858500003814697,12266.427256822586
2020-07-07 00:00:00,1804.199951171875,6.856200218200684,12369.956098902272
2020-07-08 00:00:00,1815.5,6.853360176086426,12442.275399684906
2020-07-09 00:00:00,1799.199951171875,6.85791015625,12338.751618266106
2020-07-10 00:00:00,1798.199951171875,6.857729911804199,12331.569592556218
2020-07-13 00:00:00,1811.0,6.859700202941895,12422.917067527773
2020-07-14 00:00:00,1810.5999755859373,6.855400085449219,12412.38722734619
2020-07-15 00:00:00,1811.4000244140625,6.863490104675293,12432.526143174502
2020-07-16 00:00:00,1798.699951171875,6.85290002822876,12326.310946160813
2020-07-17 00:00:00,1808.300048828125,6.855629920959473,12397.03592081857
2020-07-20 00:00:00,1815.9000244140625,6.851900100708008,12442.365560158389
2020-07-21 00:00:00,1842.4000244140625,6.853650093078613,12627.16509881348
2020-07-22 00:00:00,1864.0999755859373,6.826879978179932,12725.986800653336
2020-07-23 00:00:00,1889.0999755859373,6.840199947357178,12921.821553555375
2020-07-24 00:00:00,1897.300048828125,6.83558988571167,12969.165023929789
2020-07-27 00:00:00,1931.0,6.840700149536133,13209.391988754272
2020-07-28 00:00:00,1944.699951171875,6.879099845886231,13377.785134401403
2020-07-29 00:00:00,1953.5,6.938799858093262,13554.945522785189
2020-07-30 00:00:00,1942.300048828125,6.970699787139893,13539.190536928014
2020-07-31 00:00:00,1962.800048828125,6.969399929046631,13679.538521035458
2020-08-03 00:00:00,1966.0,6.969230175018311,13701.506524086
2020-08-04 00:00:00,2001.199951171875,6.960400104522705,13929.152349307553
2020-08-05 00:00:00,2031.0999755859373,6.92609977722168,14067.60108842072
2020-08-06 00:00:00,2051.5,7.04955005645752,14462.1519408226
2020-08-07 00:00:00,2010.0999755859373,7.223239898681641,14519.434343991335
2020-08-10 00:00:00,2024.4000244140625,7.29964017868042,14777.391755934514
2020-08-11 00:00:00,1932.5999755859373,7.328100204467773,14162.286276245724
2020-08-12 00:00:00,1934.9000244140625,7.224120140075684,13977.95023540256
2020-08-13 00:00:00,1956.699951171875,7.319019794464111,14321.125674453911
2020-08-14 00:00:00,1937.0,7.332099914550781,14202.277534484863
2020-08-17 00:00:00,1985.0,7.366000175476074,14621.510348320007
2020-08-18 00:00:00,1999.4000244140625,7.373429775238037,14742.435672626309
2020-08-19 00:00:00,1958.699951171875,7.3649001121521,14425.629490058054
2020-08-20 00:00:00,1933.800048828125,7.277900218963623,14074.003798798076
2020-08-21 00:00:00,1934.5999755859373,7.296199798583984,14115.227952210698
2020-08-24 00:00:00,1927.699951171875,7.284570217132568,14042.465651874549
2020-08-25 00:00:00,1911.800048828125,7.372900009155273,14095.510597507937
2020-08-26 00:00:00,1940.699951171875,7.393199920654297,14347.982725017704
2020-08-27 00:00:00,1921.5999755859373,7.348750114440918,14121.358040496823
2020-08-28 00:00:00,1964.5999755859373,7.35260009765625,14444.91797234863
2020-08-31 00:00:00,1967.5999755859373,7.324900150299072,14412.473356897885
2020-09-01 00:00:00,1968.199951171875,7.35260009765625,14471.387153193356
2020-09-02 00:00:00,1934.4000244140625,7.359399795532227,14236.023144150386
2020-09-03 00:00:00,1927.5999755859373,7.363239765167236,14193.380791569767
2020-09-04 00:00:00,1923.9000244140625,7.4220099449157715,14279.205114224867
2020-09-08 00:00:00,1933.0,7.449699878692627,14400.269865512848
2020-09-09 00:00:00,1944.699951171875,7.479100227355957,14544.605846948689
2020-09-10 00:00:00,1954.199951171875,7.468880176544189,14595.68527631124
2020-09-11 00:00:00,1937.800048828125,7.442500114440918,14422.077085166937
2020-09-14 00:00:00,1953.0999755859373,7.467289924621582,14584.363769471527
2020-09-15 00:00:00,1956.300048828125,7.483500003814697,14639.971422867966
2020-09-16 00:00:00,1960.199951171875,7.485400199890137,14672.88110632659
2020-09-17 00:00:00,1940.0,7.492700099945068,14535.838193893433
2020-09-18 00:00:00,1952.0999755859373,7.544600009918213,14727.813495167007
2020-09-21 00:00:00,1901.199951171875,7.557600021362305,14368.508791590575
2020-09-22 00:00:00,1898.5999755859373,7.616640090942383,14460.95269071008
2020-09-23 00:00:00,1859.9000244140625,7.667699813842773,14261.155070965877
2020-09-24 00:00:00,1868.300048828125,7.698599815368652,14383.294410961447
2020-09-25 00:00:00,1857.699951171875,7.615699768066406,14147.685087276624
2020-09-28 00:00:00,1872.800048828125,7.658180236816406,14342.240321444348
2020-09-29 00:00:00,1894.300048828125,7.780360221862793,14738.33674817509
2020-09-30 00:00:00,1887.5,7.8113298416137695,14743.88507604599
2020-10-01 00:00:00,1908.4000244140625,7.705870151519775,14705.882785291937
2020-10-02 00:00:00,1900.199951171875,7.751399993896484,14729.209889915772
2020-10-05 00:00:00,1912.5,7.736629962921143,14796.304804086683
2020-10-06 00:00:00,1901.0999755859373,7.760000228881836,14752.536245674128
2020-10-07 00:00:00,1883.5999755859373,7.788269996643066,14669.98517553357
2020-10-08 00:00:00,1888.5999755859373,7.872690200805664,14868.362521037228
2020-10-09 00:00:00,1919.5,7.940299987792969,15241.405826568604
2020-10-12 00:00:00,1922.5,7.845250129699707,15082.493374347689
